Date;Sell Date;Ticker;Buy Price;Sell Price;Confidence Score;Expected P/L (%);Actual P/L (%);Met Expectation;Is Profit;Deviation;Kazanma İhtimali (%);Eğim (Slope);R2;PD/DD (Price to Book);FD/FAVÖK (EV/EBITDA);F/K (Trailing PE);FAVÖK Marjı (EBITDA Margin);ROE;ROA;Ortalama Hacim (Avg Volume);Finansal Güven Skoru;Finansal x Küme Güveni
2025-05-16;2025-05-28;EDIP.IS;38,08;28,78;1,912356495579352;1,9441136472713603;-1,4723415711070365;False;False;-45,81;0,8912640922761592;0,6075972527413965;0,746285622715605;-0,24195756849250377;-0,07600884262721594;-0,5087274807106902;0,3387538955140249;0,021066879936204073;-0,1766435957261685;-0,4813491516692082;-7,697103238919184;-14,71960537609197
2025-05-20;2025-05-29;TERA.IS;37,46;37,15;2,30907983082868;2,2401374117653265;-0,30186595357553364;False;False;-23,64;1,2107300542165313;0,19901681994948725;0,6323425285744343;-0,2205750782730471;;-0,4025808388891591;-0,35348137870921414;3,076137392144083;3,061842640512475;-0,3223736878663842;-25,839876362636897;-59,666337340071614
2025-05-21;2025-05-30;TERA.IS;33,73;37,71;0,32538060707158156;0,8953437387784503;0,32606095744115454;False;True;-4,63;-1,3111906730738556;-0,027574253870568954;0,4117191876010254;-0,2205750782730471;;-0,4025808388891591;-0,35348137870921414;3,076137392144083;3,061842640512475;-0,3223736878663842;-25,839876362636897;-8,407794657529404
2025-05-22;2025-06-02;EDIP.IS;34,92;26,26;-0,12252218466018226;0,08973620826272717;-1,4912041976830317;False;False;-37,42;-0,6789734313469938;-0,2848266265453972;-0,5489861237172965;-0,24195756849250377;-0,07600884262721594;-0,5087274807106902;0,3387538955140249;0,021066879936204073;-0,1766435957261685;-0,4813491516692082;-7,697103238919184;0,9430659043873433
2025-05-23;2025-06-03;KUYAS.IS;60,3;55,5;-0,015623158620257142;0,5401152213856907;-0,6552920094204997;False;False;-22,71;-1,6299064071648979;-0,9124116649490569;-1,1315022787018068;-0,13612286226305068;-0,1630464531114464;-0,062230506811895334;-0,6989941123237068;-1,9084870151476283;-0,692417891098766;-0,34266666283294;3,6271184194331827;-0,05666704640126099
2025-05-26;2025-06-04;EMKEL.IS;33,3;34,16;-0,9119240271465181;-0,8638832044999791;-0,13210231439157527;False;True;-5,53;-0,9934449743282323;-0,2879998617342233;0,5560057392703741;-0,227729361183057;-0,055815594157437864;-0,17376330385773767;-0,22084695387860442;-0,04855915230154229;-0,2918299322085273;-0,19130449474016847;-2,5889363315121754;2,360913245458516
2025-05-27;2025-06-05;KLRHO.IS;49,74;72,5;0,7300009874878235;0,8403678968009999;2,011287726533373;True;True;29,59;0,2639362094212448;0,12243599454323154;0,6073703219155356;-0,21871698385447133;-0,054705238364231294;-0,20470457022050212;0,21929891183850636;0,004791637479535715;-0,14245401175260616;-0,3583047226288504;-5,661131336623355;-4,132631466033311
2025-05-28;2025-06-10;KLRHO.IS;52,3;70,0;0,4078730858534851;0,46610928026219905;1,419596913938992;True;True;19,45;0,2613319226404603;0,21404733229748998;0,6694448292685989;-0,21871698385447133;-0,054705238364231294;-0,20470457022050212;0,21929891183850636;0,004791637479535715;-0,14245401175260616;-0,3583047226288504;-5,661131336623355;-2,3090231076904324
2025-05-29;2025-06-11;KLRHO.IS;53,45;65,5;-0,1256865058943113;0,08762175280205603;0,8586819657580765;True;True;9,94;-0,6858442531041034;0,2701186310384589;0,7058319463567598;-0,21871698385447133;-0,054705238364231294;-0,20470457022050212;0,21929891183850636;0,004791637479535715;-0,14245401175260616;-0,3583047226288504;-5,661131336623355;0,7115278171089817
2025-05-30;2025-06-12;ADESE.IS;0,99;1,43;0,6781336350849255;0,6817837372506603;1,9457649184272836;True;True;29,03;0,5772411335093173;-0,03579827421108642;-0,08191516038386604;-0,24190350364743182;-0,05662882197442836;-0,5180122814019167;-0,06386039889613579;-0,09770988951330645;-0,3606975227838457;3,969358274272116;76,54902978684088;51,91047183157465
